age,gender,occupation,past_attendance,social_media_followers,interest_in_music,interest_in_art,interest_in_technology,distance_from_venue,has_plus_one,invited
55,Female,Engineer,True,929043,False,True,True,93.8,True,True
22,Male,Developer,False,245611,True,False,True,13.07,False,False
56,Male,Engineer,False,96977,True,True,False,95.88,True,True
43,Male,Teacher,True,124978,False,True,False,99.23,True,False
43,Male,Developer,True,789392,False,True,False,0.13,False,True
62,Male,Artist,False,556096,False,False,False,46.5,False,False
64,Male,Sales,True,800813,True,False,True,45.52,False,True
68,Female,Nurse,True,466984,True,False,True,55.58,False,True
25,Male,Artist,False,642298,True,True,False,27.96,False,True
69,Male,Musician,True,867003,True,False,False,58.44,False,False
26,Female,Developer,True,440410,True,False,True,32.16,False,False
23,Male,Optician,False,603747,True,False,False,93.4,True,False
59,Female,Developer,False,864407,False,False,False,52.97,False,True
65,Male,Artist,False,329478,True,True,True,79.57,False,True
19,Male,Sales,True,185786,True,False,False,84.26,False,True
28,Female,Optician,True,460,True,False,True,36.76,False,False
68,Male,Developer,True,81469,True,False,False,34.23,False,True
31,Female,Sales,True,96439,False,False,False,53.66,True,False
68,Male,Teacher,True,337536,False,False,True,69.73,True,True
65,Male,Nurse,False,638112,False,True,False,27.4,False,True
70,Male,Sales,False,529454,False,False,False,74.97,False,True
34,Male,Engineer,False,621020,False,True,False,10.67,False,False
38,Female,Optician,False,348331,True,True,True,97.99,True,False
28,Male,Accountant,False,623243,True,True,False,39.13,False,True
53,Male,Technician,False,778215,True,True,False,2.83,True,False
68,Female,Doctor,False,460799,True,True,False,20.09,True,True
50,Male,Musician,True,53848,False,False,True,4.85,True,False
54,Male,Engineer,True,774584,True,False,True,19.1,False,True
36,Male,Sales,False,698585,True,False,True,69.62,True,True
40,Female,Musician,False,974391,False,True,False,47.25,False,True
54,Female,Nurse,False,751653,False,True,False,79.25,True,False
42,Male,Musician,False,626620,False,True,True,85.97,True,True
36,Female,Accountant,False,367608,True,False,True,28.75,False,True
31,Male,Teacher,False,275087,False,True,False,18.82,True,False
59,Female,Sales,False,207364,False,True,False,25.5,False,False
26,Female,Nurse,True,681055,True,False,True,36.46,False,True
25,Female,Accountant,True,285534,True,False,True,54.9,True,True
58,Male,Technician,True,307535,True,False,False,69.24,True,True
51,Female,Musician,False,680432,True,False,False,88.85,False,False
20,Female,Teacher,True,329349,True,False,True,15.62,False,False
52,Female,Musician,True,620050,True,False,True,64.09,False,True
66,Male,Artist,True,815204,False,False,False,60.03,True,False
47,Male,Teacher,True,105880,True,True,True,44.79,True,True
57,Female,Sales,True,691390,True,True,True,89.29,True,False
19,Male,Artist,False,394911,False,True,False,19.22,True,False
47,Female,Engineer,False,172849,False,True,False,48.94,True,True
63,Male,Engineer,True,411250,True,True,True,78.01,True,True
44,Female,Nurse,False,627959,True,False,False,52.55,False,False
50,Male,Sales,True,453516,True,True,False,46.87,False,True
54,Male,Teacher,False,942661,False,False,False,3.04,True,False
47,Female,Developer,True,318259,True,False,True,65.24,False,False
19,Female,Teacher,False,514043,True,True,False,19.27,False,True
66,Female,Accountant,True,444651,True,False,True,34.9,False,True
28,Male,Technician,True,677813,False,False,True,21.8,True,True
49,Male,Artist,True,407864,False,False,True,35.81,False,False
52,Male,Teacher,False,402144,True,True,True,65.01,False,True
63,Male,Accountant,True,606813,True,True,False,52.45,False,False
64,Male,Technician,True,895095,False,True,False,32.75,False,False
63,Female,Sales,True,961934,True,False,False,81.07,True,False
25,Male,Doctor,False,450208,False,False,True,11.58,True,True
64,Female,Doctor,False,210316,True,True,True,84.39,False,False
38,Male,Nurse,False,842406,True,True,False,63.39,True,False
27,Male,Doctor,False,684364,True,False,True,92.99,False,False
55,Female,Artist,True,162632,True,True,False,56.11,True,False
23,Female,Accountant,False,685752,False,True,False,30.34,False,False
68,Male,Engineer,False,314198,False,True,True,75.39,False,False
19,Female,Doctor,True,663414,False,False,True,48.86,False,True
20,Male,Musician,True,875089,True,True,False,28.21,True,True
43,Male,Optician,False,525424,False,False,False,16.88,True,False
67,Female,Optician,False,294130,True,False,False,33.15,True,False
45,Male,Teacher,True,873995,False,False,True,60.54,True,True
44,Female,Sales,True,231573,False,True,True,57.27,False,False
65,Male,Musician,False,76138,False,True,False,92.27,False,False
43,Female,Musician,False,909726,True,False,False,30.61,True,False
33,Male,Nurse,True,295391,True,False,False,18.31,True,True
70,Female,Artist,False,372860,False,True,False,57.87,True,True
63,Female,Developer,True,677269,True,False,False,94.53,False,False
45,Female,Musician,True,817438,True,True,False,66.51,True,True
45,Female,Technician,False,857279,False,False,True,8.84,True,False
66,Female,Teacher,True,817678,False,True,True,30.81,False,True
54,Male,Accountant,True,333081,False,True,False,24.11,False,False
53,Female,Developer,True,124195,False,False,True,20.56,True,True
56,Female,Nurse,True,786515,True,False,False,78.05,True,False
55,Male,Nurse,True,725326,True,True,True,56.54,False,True
39,Female,Engineer,True,83085,True,True,True,96.04,False,False
28,Male,Nurse,True,343569,True,True,True,61.43,True,False
61,Female,Technician,False,341054,True,False,False,30.0,False,True
28,Male,Artist,True,179143,False,True,False,38.26,False,False
27,Female,Doctor,False,605540,True,False,True,93.53,False,True
18,Male,Accountant,True,479024,True,True,True,32.75,True,False
41,Female,Developer,True,574623,True,False,True,14.84,False,True
36,Female,Nurse,True,379746,True,True,True,84.12,True,True
51,Male,Technician,True,398786,False,False,False,44.79,True,False
44,Male,Teacher,True,85057,True,True,False,78.13,True,False
61,Female,Musician,True,547727,True,True,True,6.3,True,True
64,Female,Artist,False,99264,True,False,True,11.0,True,False
38,Female,Optician,True,624831,True,False,True,80.22,True,True
36,Male,Optician,False,535831,True,True,True,23.13,False,True
57,Female,Teacher,False,986975,False,False,True,58.87,False,True
68,Female,Technician,False,165127,True,True,True,90.42,False,True
20,Male,Accountant,True,128764,False,False,False,31.4,False,False
67,Male,Doctor,False,47432,True,False,False,85.57,True,False
21,Female,Developer,True,255767,True,True,False,84.02,False,False
45,Female,Accountant,True,119157,True,True,True,16.91,False,False
69,Female,Accountant,True,594271,False,False,False,29.66,False,True
26,Male,Developer,True,462735,False,True,True,70.28,False,False
53,Female,Optician,True,46410,True,True,True,6.51,True,True
53,Female,Accountant,True,473112,False,False,False,90.11,False,True
47,Female,Musician,True,387760,True,True,False,96.08,False,True
69,Male,Doctor,True,620950,True,False,False,12.81,False,True
41,Male,Engineer,True,311698,False,False,False,90.66,True,False
21,Male,Engineer,True,306418,True,True,False,59.23,False,True
56,Female,Sales,True,391184,False,True,True,64.88,True,False
49,Female,Musician,True,535788,False,False,True,76.1,False,False
69,Male,Teacher,True,417861,True,False,True,4.62,False,False
24,Female,Technician,True,98304,True,True,False,41.55,True,False
43,Female,Artist,True,83046,True,False,False,87.17,True,True
56,Female,Sales,True,368159,False,False,False,48.49,True,False
26,Female,Artist,False,628764,True,True,True,43.31,True,False
39,Female,Engineer,False,598611,False,False,True,91.84,False,False
60,Female,Engineer,False,966238,True,True,True,34.29,True,True
34,Male,Musician,True,629245,True,True,True,58.07,True,False
69,Male,Accountant,True,174733,False,False,True,67.45,True,False
30,Female,Artist,True,193956,True,False,True,79.57,True,False
51,Female,Developer,True,37698,False,True,False,59.03,False,True
47,Female,Doctor,False,477341,True,True,True,26.23,True,False
62,Male,Nurse,True,314441,True,True,False,61.95,True,True
25,Female,Sales,False,399607,False,False,True,88.47,False,False
38,Female,Sales,True,640769,False,False,False,64.25,False,False
38,Female,Technician,False,743080,True,False,False,27.61,False,False
28,Male,Developer,True,599247,False,False,True,33.32,True,True
67,Male,Musician,False,662119,False,True,True,99.12,False,False
57,Female,Technician,False,976293,False,False,True,74.23,True,True
58,Male,Developer,False,370929,False,True,False,99.06,True,True
55,Male,Developer,True,408898,True,False,False,11.14,True,False
49,Male,Artist,True,673380,False,False,False,89.74,True,False
49,Female,Accountant,False,157590,False,True,True,43.04,False,False
53,Male,Optician,False,945510,False,False,True,69.71,True,True
35,Male,Accountant,False,766232,False,True,True,92.41,True,True
54,Female,Developer,True,993102,False,False,True,25.46,False,False
63,Female,Optician,False,19084,True,False,False,62.77,True,False
51,Female,Accountant,False,453424,True,True,True,80.03,False,False
29,Male,Technician,False,656064,False,True,False,67.93,True,False
31,Male,Developer,True,630564,False,False,False,17.0,True,True
67,Male,Musician,True,57445,True,True,True,33.57,False,False
53,Female,Musician,True,90048,True,False,False,13.49,True,False
65,Female,Artist,True,65105,False,True,True,36.61,True,False
65,Female,Engineer,False,491341,True,False,False,94.84,False,False
64,Female,Artist,True,525054,False,False,True,28.14,False,True
30,Female,Artist,False,23156,True,True,True,41.05,True,False
55,Male,Accountant,False,305181,True,False,False,16.49,False,True
61,Male,Nurse,True,339033,True,True,True,66.85,True,True
29,Female,Teacher,True,479707,True,False,True,49.24,False,False
19,Male,Accountant,False,728076,False,True,True,25.88,True,True
24,Female,Teacher,False,447401,True,True,False,21.45,False,True
30,Male,Developer,True,651188,False,False,True,3.53,True,False
57,Male,Engineer,False,5194,False,False,False,8.66,False,False
46,Male,Optician,True,562202,False,True,True,61.68,True,True
28,Female,Engineer,False,211723,False,False,True,74.35,True,True
65,Female,Developer,True,368009,True,True,True,70.31,True,False
44,Female,Teacher,False,43155,True,True,False,27.39,False,False
62,Female,Developer,False,933717,True,False,False,87.26,False,True
50,Female,Nurse,False,11880,False,False,False,29.36,True,True
41,Female,Accountant,True,870117,False,False,False,11.2,True,True
23,Male,Optician,False,500985,True,True,True,91.47,False,False
42,Male,Optician,True,531763,True,True,True,79.33,False,True
63,Female,Engineer,True,923964,True,True,True,15.54,True,True
49,Male,Sales,True,38119,True,True,False,44.07,True,False
42,Female,Doctor,False,545844,False,False,True,65.98,True,False
20,Female,Doctor,False,690266,True,True,False,73.91,True,False
59,Male,Doctor,False,877898,True,False,False,82.92,False,False
23,Male,Accountant,False,859518,False,True,False,53.67,False,False
28,Female,Artist,False,593480,True,True,True,20.17,True,False
37,Female,Engineer,True,587552,False,False,False,3.32,True,False
37,Male,Doctor,True,30664,False,True,True,96.59,False,True
31,Female,Developer,False,457052,True,False,False,86.92,True,False
60,Male,Nurse,False,300184,False,True,True,58.27,False,True
33,Male,Nurse,True,987153,True,False,True,49.31,True,False
55,Female,Doctor,False,108945,False,False,True,86.82,False,False
48,Male,Developer,False,859175,False,True,True,83.06,True,False
65,Female,Developer,True,729844,False,True,True,65.55,True,False
28,Male,Doctor,True,942345,False,True,False,10.05,True,False
37,Female,Developer,True,980464,False,True,True,14.79,True,False
19,Female,Musician,True,629981,False,True,False,83.1,True,True
62,Male,Nurse,True,909310,True,False,False,90.69,True,True
46,Female,Accountant,False,91464,True,False,True,66.4,False,True
37,Male,Sales,False,29570,False,True,True,54.27,True,True
65,Female,Musician,True,615512,True,False,False,77.17,False,False
20,Male,Technician,False,898084,True,True,True,56.56,False,True
66,Female,Sales,False,420244,False,False,False,43.48,False,True
23,Male,Optician,True,711870,False,False,True,5.35,True,True
54,Female,Musician,True,745694,False,True,False,76.42,False,False
28,Male,Musician,False,144349,True,True,False,18.39,False,False
65,Male,Optician,False,859611,True,True,False,82.22,False,True
61,Male,Engineer,False,730330,False,True,False,97.45,False,False
28,Female,Accountant,True,113976,False,False,True,40.25,True,True
66,Male,Technician,False,83846,True,False,False,95.56,False,True
38,Male,Sales,True,836655,True,False,True,15.29,True,False
37,Female,Teacher,False,711828,True,True,False,69.62,True,False
35,Male,Accountant,True,382076,True,True,False,14.0,True,False
54,Male,Artist,True,419385,True,True,True,11.41,True,False
35,Male,Developer,False,320687,True,True,True,2.42,False,False
53,Female,Engineer,True,736954,True,False,False,98.01,False,True
23,Female,Sales,False,716877,True,False,False,44.44,True,True
40,Male,Teacher,True,548125,True,False,True,50.42,False,False
34,Male,Technician,False,807433,False,True,False,46.6,True,False
22,Male,Developer,False,268732,True,True,True,48.38,False,True
60,Male,Optician,False,547397,False,False,True,67.97,True,False
61,Female,Engineer,True,179950,False,True,False,39.4,False,False
61,Male,Developer,False,544733,False,True,False,1.94,True,True
25,Male,Developer,True,199965,False,False,False,65.94,True,True
55,Male,Accountant,True,552826,True,True,True,61.19,True,False
54,Male,Developer,True,519105,True,False,False,16.12,True,False
60,Female,Sales,False,338210,True,True,True,1.49,False,False
41,Female,Nurse,True,348817,True,False,False,14.73,True,True
69,Female,Sales,False,173398,True,False,False,21.71,False,False
52,Male,Nurse,True,342527,True,True,False,42.73,True,True
49,Male,Engineer,True,23925,False,True,True,78.68,True,True
58,Male,Musician,False,319747,True,False,False,73.64,False,True
51,Female,Nurse,True,221658,True,False,True,46.13,True,False
21,Female,Technician,False,843978,True,True,True,91.55,False,True
25,Female,Accountant,True,965842,False,False,False,18.05,False,False
20,Female,Musician,False,82425,False,False,False,24.34,False,False
22,Male,Musician,False,258182,False,True,False,65.24,False,False
36,Male,Optician,True,131948,True,True,False,19.37,False,False
48,Male,Teacher,False,129980,False,True,False,46.0,False,False
57,Male,Optician,True,824707,False,True,True,31.75,False,True
38,Female,Doctor,False,134764,False,True,False,33.57,False,True
25,Female,Doctor,False,338346,False,True,True,54.14,False,False
48,Female,Nurse,False,486318,False,True,True,96.31,True,True
50,Female,Musician,False,922673,False,True,True,20.78,True,True
65,Female,Developer,True,54855,False,False,True,4.88,True,True
66,Female,Sales,False,419724,False,False,True,43.01,True,False
48,Male,Developer,False,218676,False,True,True,11.65,True,False
20,Male,Artist,False,195302,True,False,False,15.98,True,True
49,Female,Doctor,False,219385,True,False,False,83.57,True,True
55,Female,Sales,False,931501,True,True,True,19.34,True,True
61,Female,Optician,True,746105,True,True,False,86.18,True,False
18,Female,Technician,False,886408,False,True,False,54.84,False,False
69,Male,Engineer,True,46428,True,False,False,45.44,True,False
64,Male,Developer,False,526856,False,False,False,12.8,True,False
56,Male,Musician,True,226051,True,False,False,16.92,True,False
45,Male,Nurse,False,148688,False,True,False,36.71,True,True
59,Male,Accountant,True,891878,False,True,True,74.75,False,False
69,Female,Doctor,True,757851,True,False,False,85.88,True,False
43,Male,Engineer,True,403792,True,False,True,14.09,True,True
39,Male,Teacher,True,592926,True,False,True,13.34,True,True
50,Male,Developer,True,24963,True,True,True,82.78,True,False
58,Male,Musician,True,84732,False,False,False,90.85,True,False
36,Female,Technician,False,734380,True,False,True,68.38,False,False
30,Female,Developer,True,387278,False,False,True,79.64,True,False
51,Male,Accountant,False,420547,False,False,False,73.89,True,True
60,Female,Optician,False,795635,True,False,True,61.41,False,True
32,Female,Musician,True,436787,False,False,True,76.27,False,True
63,Male,Artist,False,661769,True,True,False,24.94,False,False
38,Female,Doctor,True,269866,True,True,False,51.29,True,True
62,Female,Developer,False,565226,False,False,False,99.28,True,False
26,Male,Engineer,True,101212,True,True,False,92.7,True,False
20,Female,Developer,False,888815,True,False,True,81.84,True,False
43,Female,Nurse,False,43515,True,True,False,94.36,True,True
44,Male,Teacher,False,883823,False,True,False,5.38,False,False
18,Female,Teacher,False,609495,False,True,True,90.75,True,False
22,Female,Musician,False,886014,False,True,False,14.14,False,False
68,Male,Doctor,True,501928,True,True,True,7.1,False,True
67,Female,Nurse,True,539834,False,True,False,70.59,True,True
32,Male,Engineer,True,712942,False,False,True,53.94,False,True
61,Male,Doctor,True,134093,False,True,True,8.17,True,True
35,Male,Accountant,True,501574,True,True,False,54.27,False,True
53,Female,Accountant,False,950821,True,False,True,49.19,True,False
61,Female,Teacher,True,539352,False,True,True,13.21,False,False
69,Male,Artist,True,213837,False,False,False,12.88,True,True
54,Female,Optician,False,637373,True,False,False,91.08,True,True
58,Male,Technician,False,422262,True,False,True,28.49,True,True
69,Male,Technician,False,156764,True,True,True,24.14,True,False
38,Male,Teacher,False,656132,False,True,True,94.55,True,False
61,Female,Sales,False,573723,False,False,True,77.73,False,False
43,Male,Developer,True,527569,True,True,False,20.5,True,False
22,Female,Nurse,False,40961,True,True,False,47.13,True,False
44,Female,Artist,False,398079,False,False,False,80.21,False,True
62,Female,Teacher,False,662521,True,True,False,89.98,False,False
29,Female,Nurse,False,135608,False,False,False,56.46,True,True
61,Male,Accountant,True,39570,False,True,True,65.14,True,True
59,Female,Artist,True,443988,False,True,False,10.24,True,False
28,Female,Sales,True,394738,True,False,True,18.88,False,False
32,Female,Musician,False,6973,False,False,False,30.03,True,False
49,Female,Doctor,False,254160,True,False,True,24.87,True,True
67,Female,Developer,False,180494,False,True,True,67.27,False,True
44,Female,Artist,True,717009,False,True,True,6.03,True,False
45,Male,Sales,False,596620,False,True,False,52.52,True,False
46,Male,Musician,True,656565,False,True,False,61.21,False,False
45,Female,Engineer,True,888244,False,False,True,65.05,False,False
23,Male,Sales,True,1392,False,False,False,38.37,False,False
18,Male,Artist,True,400465,True,True,True,83.97,False,True
54,Female,Musician,True,484698,False,False,False,96.33,True,False
19,Male,Accountant,True,668800,False,False,False,9.2,True,False
29,Female,Developer,True,140704,False,False,True,73.04,False,False
35,Female,Optician,True,200018,False,False,False,18.27,True,True
33,Male,Optician,True,19394,False,False,False,47.38,True,False
61,Male,Teacher,True,493606,False,True,False,72.83,True,False
34,Male,Optician,True,345532,True,False,False,18.49,True,False
59,Female,Optician,True,938136,False,True,True,43.51,True,False
62,Female,Sales,True,316238,False,False,False,97.33,False,False
32,Male,Optician,True,534512,True,False,False,16.43,False,False
43,Female,Developer,True,550832,True,False,True,15.9,True,False
43,Male,Artist,True,836712,True,True,False,15.01,False,True
21,Female,Doctor,False,525886,True,True,False,21.57,True,False
57,Female,Technician,False,84092,False,False,True,34.25,True,False
67,Male,Optician,False,738033,False,False,False,42.47,True,False
38,Male,Doctor,False,790074,True,False,False,46.55,True,True
19,Male,Technician,False,84261,True,True,True,49.21,True,False
66,Female,Nurse,False,527189,True,False,True,54.21,True,False
66,Female,Artist,False,226793,False,False,False,45.81,True,False
29,Female,Engineer,True,768534,False,True,False,57.34,True,False
38,Female,Artist,False,515618,True,True,False,45.28,True,False
51,Female,Musician,True,514446,True,True,True,50.07,True,True
53,Male,Technician,True,14427,True,False,True,96.82,False,False
45,Male,Optician,True,719921,True,False,True,43.39,False,True
29,Male,Nurse,True,622651,False,False,True,91.66,True,False
24,Female,Accountant,True,215994,False,False,True,74.24,False,False
26,Male,Technician,False,365781,False,False,False,17.28,True,False
24,Male,Nurse,False,825601,True,True,False,11.92,False,False
30,Male,Teacher,False,692501,False,False,False,14.72,False,True
64,Female,Accountant,False,372462,True,True,True,51.23,False,False
63,Male,Optician,True,449890,True,False,False,29.34,True,True
38,Male,Artist,False,327642,True,False,False,25.66,True,False
27,Male,Accountant,True,159111,False,False,False,26.04,True,False
54,Male,Optician,False,632619,True,False,True,15.33,True,True
29,Female,Teacher,False,879336,True,False,False,43.02,False,False
34,Male,Accountant,True,462288,False,True,True,69.08,True,True
27,Female,Sales,True,103768,True,True,True,51.02,True,False
40,Male,Developer,False,677389,False,True,True,69.12,True,False
44,Male,Engineer,True,402074,True,False,True,59.59,True,True
68,Male,Engineer,False,84222,True,True,True,87.96,True,True
53,Female,Developer,True,787919,True,False,True,12.24,True,False
33,Female,Doctor,False,671585,True,True,True,94.48,False,False
69,Female,Accountant,True,827867,True,True,True,55.04,False,False
38,Male,Artist,False,264149,False,True,False,31.23,True,False
56,Male,Technician,False,730253,True,True,True,9.4,True,False
70,Female,Doctor,False,787309,False,True,False,20.56,True,True
33,Female,Nurse,True,757938,True,True,True,14.5,False,False
47,Male,Developer,True,848174,True,True,True,42.19,False,True
32,Male,Doctor,True,736354,False,False,True,55.98,False,False
42,Male,Nurse,False,46756,True,False,False,67.98,False,True
30,Male,Optician,False,356373,False,True,False,74.66,False,False
53,Male,Artist,False,924179,True,False,False,48.01,False,False
33,Female,Sales,False,432534,True,True,True,93.05,True,False
25,Male,Artist,False,462,False,False,False,37.53,True,False
29,Male,Optician,False,436281,False,True,True,95.17,False,True
36,Male,Accountant,False,511695,False,False,False,42.74,True,True
36,Male,Doctor,False,871736,True,True,True,41.27,False,False
65,Female,Doctor,True,688401,False,False,False,56.47,False,False
49,Male,Nurse,False,729145,False,False,False,67.47,False,True
65,Male,Optician,False,498687,False,True,False,66.64,True,False
33,Female,Teacher,True,394475,True,False,True,92.49,True,False
24,Male,Musician,True,603474,False,True,False,63.99,False,False
50,Male,Sales,True,372837,True,True,True,92.94,False,False
41,Male,Musician,True,195950,True,True,True,52.36,True,True
56,Female,Accountant,False,44293,True,True,False,38.39,True,True
60,Male,Technician,True,840043,False,False,False,52.99,False,True
65,Female,Sales,True,680769,True,False,False,30.91,True,False
45,Female,Technician,False,59223,True,False,True,69.87,False,False
19,Male,Nurse,True,837268,True,False,True,2.57,False,True
50,Female,Musician,True,215266,True,False,False,86.19,True,True
21,Male,Nurse,False,122099,True,True,True,92.52,False,False
49,Male,Technician,True,487604,False,False,False,0.96,True,True
70,Male,Teacher,False,805580,False,False,False,82.86,False,False
60,Male,Developer,True,506242,True,False,True,45.53,True,True
24,Female,Nurse,True,366715,False,True,True,59.39,False,False
27,Female,Accountant,True,912189,True,False,False,64.22,False,True
58,Female,Sales,True,801296,False,False,False,97.82,False,True
61,Female,Teacher,True,714462,True,False,True,25.19,True,True
41,Female,Sales,False,20287,True,False,True,4.4,True,True
26,Female,Musician,True,47440,True,True,True,82.16,True,False
52,Male,Accountant,True,166479,True,False,False,39.83,False,True
35,Female,Artist,True,668297,True,False,True,69.25,True,False
55,Female,Technician,True,96566,True,False,True,11.28,True,False
64,Female,Technician,True,312226,True,True,True,22.03,False,True
43,Male,Teacher,True,606748,False,True,False,55.21,True,True
27,Female,Optician,False,118284,False,True,True,69.54,True,True
30,Female,Teacher,True,315058,True,True,False,15.41,True,True
33,Male,Technician,True,281121,False,False,True,12.3,False,True
38,Female,Developer,True,613353,True,False,False,3.45,False,True
36,Female,Teacher,False,125116,True,True,False,76.15,True,False
40,Female,Artist,True,903905,False,False,False,47.69,False,True
53,Female,Sales,True,688370,True,False,False,64.95,True,False
31,Male,Engineer,True,7635,False,True,True,36.74,False,False
58,Male,Technician,False,922797,False,True,False,37.96,False,True
18,Male,Engineer,False,646973,False,False,False,59.25,False,True
29,Male,Technician,False,863066,True,False,False,34.8,False,False
51,Female,Artist,False,686095,True,True,True,2.61,True,True
